iter	Logloss
0	0.6140386985
1	0.5562200118
2	0.509267741
3	0.4518669344
4	0.4146211251
5	0.3840327323
6	0.358186857
7	0.3369820716
8	0.3245961083
9	0.3056634784
10	0.2892642601
11	0.2686674442
12	0.2570194286
13	0.2494312704
14	0.2385438989
15	0.2274264927
16	0.217455088
17	0.2072418854
18	0.2009953972
19	0.1942243253
20	0.1883090982
21	0.1837971855
22	0.1796257636
23	0.1750464579
24	0.1719419489
25	0.1665427147
26	0.16271143
27	0.1571104787
28	0.1525846535
29	0.1487467483
30	0.1440164632
31	0.1402216897
32	0.1380708623
33	0.1345444807
34	0.1318223506
35	0.1283478648
36	0.1253608962
37	0.1223667581
38	0.118489659
39	0.1148773821
40	0.1137053403
41	0.1120088529
42	0.1099378443
43	0.1084860993
44	0.1052069985
45	0.1014100774
46	0.09952014746
47	0.09839338729
48	0.09651598578
49	0.09422093837
50	0.09294340422
51	0.09067385854
52	0.08885325449
53	0.08730890427
54	0.08553365088
55	0.08398740596
56	0.08175705538
57	0.08042159134
58	0.07962595881
59	0.07899766823
60	0.07728241886
61	0.07603798265
62	0.07494507912
63	0.07299614683
64	0.07176532481
65	0.07034390565
66	0.06908167535
67	0.06862580765
68	0.06809584869
69	0.06632001838
70	0.06458547804
71	0.06400929474
72	0.06348712564
73	0.06237752602
74	0.06103239261
75	0.05904687182
76	0.0583567809
77	0.05693550666
78	0.05636235928
79	0.05500838356
80	0.05415925047
81	0.05363148499
82	0.05197300915
83	0.05161310808
84	0.05002708464
85	0.04958199351
86	0.04804094058
87	0.04685150702
88	0.04650673623
89	0.04505761478
90	0.04398086224
91	0.04319527251
92	0.04193033408
93	0.0405119269
94	0.03956277519
95	0.03931736487
96	0.03848822508
97	0.03735527853
98	0.03703900005
99	0.03610255445
100	0.03586670219
101	0.03462984583
102	0.03407705105
103	0.03332836812
104	0.03304031157
105	0.03220605192
106	0.03156322728
107	0.03111021776
108	0.03009606334
109	0.02943264205
110	0.02882006269
111	0.02864317061
112	0.02801915143
113	0.02725428355
114	0.02679537252
115	0.02617464601
116	0.02564502732
117	0.02552261221
118	0.02474781371
119	0.02438163587
120	0.02376815027
121	0.02328471846
122	0.02278428916
123	0.02229050576
124	0.02188399357
125	0.02173337347
126	0.02154871259
127	0.02090746225
128	0.02043290212
129	0.02003686479
130	0.0197740553
131	0.01929564719
132	0.01919419776
133	0.01871397101
134	0.01863396204
135	0.01826837568
136	0.01787427895
137	0.01735344917
138	0.01700624241
139	0.01675231494
140	0.01629675768
141	0.01596050812
142	0.01588767941
143	0.01566731787
144	0.01542978747
145	0.01533162515
146	0.01502299107
147	0.01478472843
148	0.01462090979
149	0.01444764748
150	0.01420424382
151	0.01406728107
152	0.01394486876
153	0.01381761719
154	0.01364577532
155	0.01358403508
156	0.01331890383
157	0.01326858694
158	0.01295162376
159	0.01271929342
160	0.01249247959
161	0.01237350434
162	0.01216071465
163	0.01199034238
164	0.01177472873
165	0.01172392605
166	0.01156459201
167	0.01139832623
168	0.01123353777
169	0.01116169231
170	0.01088946372
171	0.01078975529
172	0.01071082696
173	0.01064904509
174	0.01061357458
175	0.01046716403
176	0.01035616244
177	0.01019305417
178	0.01007327892
179	0.009959980083
180	0.009834623629
181	0.009743390681
182	0.009517343853
183	0.009458187603
184	0.009258250389
185	0.009149662824
186	0.009021662477
187	0.008923034503
188	0.008916089779
189	0.008816888809
190	0.008738891795
191	0.008693111553
192	0.008577808891
193	0.00845605309
194	0.008348574363
195	0.008186096234
196	0.008186082395
197	0.008088815289
198	0.007983152566
199	0.007885485246
